XYZ (16012 points)
357901.150 5370413.810 154.356
354221.617 5375974.680 76.866
353579.282 5382403.070 66.160
349059.494 5385192.930 79.275
343324.196 5385696.210 100.386
343274.573 5393811.320 55.623
338095.972 5395888.840 69.330
336214.974 5401161.620 55.655
335162.226 5406510.370 48.354
330693.675 5408451.760 77.017
326128.752 5405803.680 88.430
325816.880 5411277.430 54.711
324542.287 5416096.590 39.659
322279.020 5419522.650 29.714
320746.008 5424047.260 34.257
315304.093 5424528.630 54.739
131490.000 5648340.000 32.503
138040.000 5645680.000 11.162
135890.000 5650280.000 32.353
139849.821 5651511.580 28.539
141384.115 5656593.640 37.776
144784.291 5659177.010 53.166
145463.412 5662930.120 115.152
148140.356 5666338.620 146.721
145123.910 5670529.080 151.293
147454.137 5674615.880 126.672
149895.861 5677733.050 99.541
151144.575 5681975.160 100.207
156347.428 5682388.750 118.725
160425.783 5680984.270 96.835
163407.177 5682880.380 63.599
166375.942 5685631.330 51.162
171509.538 5689715.070 63.268
175138.195 5693364.660 81.857
175286.009 5696747.440 94.609
164617.790 5729309.330 160.535
157224.715 5735947.480 185.545
426776.581 5057862.780 4.361
426203.306 5062927.570 6.564
420853.824 5065354.050 54.020
420514.674 5070342.330 50.581
420871.208 5074904.870 45.100
420942.285 5079413.230 49.369
420472.405 5083666.270 49.636
420730.781 5087958.310 48.138
418231.355 5090867.620 61.288
414249.025 5090477.550 78.132
415971.563 5094394.830 70.045
413770.504 5097624.620 76.001
411639.905 5100341.150 80.148
411970.251 5103442.540 76.019
409367.749 5105162.200 83.043
409091.549 5108435.370 76.494
409620.610 5111820.230 64.648
